incident_id,date,tool,code,severity,summary
INC-0001,2025-11-25,OpsFlow,ERR-RUN-204,P2,OpsFlow experienced ERR-RUN-204 during routine operations
INC-0002,2026-01-14,DataDesk,ERR-UPL-021,P2,DataDesk experienced ERR-UPL-021 during routine operations
INC-0003,2025-11-20,FinReport,ERR-AUTH-407,P2,FinReport experienced ERR-AUTH-407 during routine operations
INC-0004,2026-02-10,OpsFlow,ERR-AUTH-407,P1,OpsFlow experienced ERR-AUTH-407 during routine operations
INC-0005,2025-12-12,FinReport,ERR-RUN-204,P2,FinReport experienced ERR-RUN-204 during routine operations
INC-0006,2025-11-15,FinReport,ERR-RATE-429,P1,FinReport experienced ERR-RATE-429 during routine operations
INC-0007,2025-12-01,SecureVault,ERR-RUN-204,P2,SecureVault experienced ERR-RUN-204 during routine operations
INC-0008,2026-01-25,BatchBridge,ERR-MFA-009,P1,BatchBridge experienced ERR-MFA-009 during routine operations
INC-0009,2026-01-18,SecureVault,ERR-AUTH-407,P0,SecureVault experienced ERR-AUTH-407 during routine operations
INC-0010,2026-02-02,SecureVault,ERR-MFA-009,P2,SecureVault experienced ERR-MFA-009 during routine operations
INC-0011,2025-11-03,OpsFlow,HTTP 502,P1,OpsFlow experienced HTTP 502 during routine operations
INC-0012,2026-01-30,BatchBridge,ERR-AUTH-407,P2,BatchBridge experienced ERR-AUTH-407 during routine operations
INC-0013,2025-10-31,FinReport,ERR-MFA-009,P2,FinReport experienced ERR-MFA-009 during routine operations
INC-0014,2025-11-16,OpsFlow,ERR-RUN-204,P2,OpsFlow experienced ERR-RUN-204 during routine operations
INC-0015,2025-11-08,SecureVault,ERR-AUTH-407,P2,SecureVault experienced ERR-AUTH-407 during routine operations
INC-0016,2025-10-27,OpsFlow,ERR-RATE-429,P1,OpsFlow experienced ERR-RATE-429 during routine operations
INC-0017,2025-11-25,SecureVault,ERR-UPL-021,P1,SecureVault experienced ERR-UPL-021 during routine operations
INC-0018,2026-01-19,SecureVault,HTTP 502,P2,SecureVault experienced HTTP 502 during routine operations
INC-0019,2025-11-24,OpsFlow,ERR-SYNC-101,P2,OpsFlow experienced ERR-SYNC-101 during routine operations
INC-0020,2025-12-08,DataDesk,ERR-UPL-021,P1,DataDesk experienced ERR-UPL-021 during routine operations
INC-0021,2026-01-11,FinReport,SQLSTATE 22001,P2,FinReport experienced SQLSTATE 22001 during routine operations
